,T1,Mean_T1,Median_T1,Max_T1,Min_T1,B0,Mean_B0,Median_B0,Max_B0,Min_B0,B1000,Mean_B1000,Median_B1000,Max_B1000,Min_B1000,B1500,Mean_B1500,Median_B1500,Max_B1500,Min_B1500,B2000,Mean_B2000,Median_B2000,Max_B2000,Min_B2000,ADC,Mean_ADC,Median_ADC,Max_ADC,Min_ADC,Position_X,Position_Y,Position_Z,class
447,1463.0,1046.12,1120.0,1576.0,472.0,188.0,182.256,187.0,220.0,96.0,48.0,43.32,44.0,53.0,30.0,24.0,21.312,21.0,31.0,12.0,12.0,10.432,10.0,21.0,4.0,1298.0,1340.104,1369.0,1675.0,620.0,31,877,99,healthy
448,1237.0,1066.376,1154.0,1538.0,472.0,181.0,181.696,186.0,228.0,90.0,46.0,41.992,42.0,52.0,32.0,22.0,20.4,21.0,29.0,13.0,11.0,9.584,9.0,18.0,5.0,1275.0,1346.416,1362.0,1648.0,735.0,31,879,98,healthy
449,1437.0,1294.8,1390.0,1637.0,683.0,55.0,109.928,59.0,598.0,23.0,31.0,33.32,34.0,52.0,15.0,23.0,22.424,23.0,35.0,9.0,18.0,15.536,17.0,26.0,5.0,499.0,679.568,495.0,2112.0,149.0,31,885,180,healthy
450,1295.0,1108.2,1299.0,1496.0,485.0,39.0,69.888,46.0,185.0,0.0,23.0,31.128,32.0,48.0,12.0,17.0,17.488,17.0,26.0,8.0,13.0,12.32,12.0,22.0,4.0,798.0,802.552,825.0,1554.0,24.0,31,888,395,healthy
451,1490.0,1381.616,1419.0,1551.0,904.0,65.0,67.36,61.0,141.0,17.0,35.0,38.912,40.0,46.0,25.0,26.0,27.368,28.0,33.0,20.0,18.0,19.864,20.0,25.0,15.0,453.0,488.416,529.0,1097.0,0.0,31,890,113,healthy
452,1603.0,1515.128,1530.0,1729.0,1211.0,36.0,51.328,53.0,74.0,21.0,43.0,40.32,42.0,58.0,22.0,33.0,29.896,31.0,41.0,18.0,25.0,22.352,23.0,31.0,12.0,45.0,280.464,250.0,691.0,39.0,31,893,383,healthy
453,1339.0,1315.304,1330.0,1567.0,908.0,69.0,86.792,45.0,552.0,21.0,22.0,29.296,27.0,48.0,18.0,14.0,18.416,19.0,34.0,8.0,9.0,13.176,15.0,25.0,2.0,840.0,746.264,614.0,2345.0,73.0,31,898,394,healthy
454,1364.0,1394.36,1438.0,1584.0,828.0,34.0,44.392,38.0,115.0,15.0,29.0,32.744,33.0,47.0,20.0,23.0,21.952,21.0,34.0,12.0,18.0,17.032,17.0,25.0,8.0,269.0,407.088,389.0,971.0,0.0,31,904,99,healthy
455,1394.0,1168.008,1177.0,1457.0,666.0,34.0,40.376,35.0,134.0,0.0,47.0,37.296,36.0,50.0,27.0,32.0,24.728,25.0,32.0,16.0,24.0,19.432,20.0,24.0,10.0,203.0,328.44,298.0,1138.0,3.0,31,920,98,healthy
456,1389.0,1327.048,1299.0,1616.0,1079.0,56.0,82.104,70.0,155.0,31.0,33.0,46.736,47.0,63.0,32.0,25.0,31.192,31.0,38.0,23.0,19.0,21.816,21.0,29.0,16.0,588.0,514.984,533.0,885.0,95.0,31,922,131,healthy
457,1211.0,1212.16,1248.0,1505.0,520.0,39.0,33.968,30.0,120.0,6.0,56.0,39.176,37.0,57.0,24.0,35.0,27.128,27.0,38.0,14.0,27.0,21.712,22.0,28.0,9.0,76.0,174.408,130.0,1013.0,0.0,31,928,384,healthy
458,1060.0,1322.864,1331.0,1488.0,1047.0,115.0,80.296,78.0,133.0,38.0,52.0,47.688,48.0,63.0,37.0,32.0,32.44,33.0,38.0,26.0,21.0,22.648,23.0,27.0,18.0,646.0,459.56,450.0,696.0,226.0,31,931,127,healthy
459,1273.0,1327.12,1309.0,1505.0,1108.0,126.0,87.344,88.0,138.0,45.0,56.0,50.6,50.0,70.0,34.0,34.0,33.672,34.0,43.0,24.0,22.0,23.296,23.0,29.0,17.0,697.0,470.968,455.0,713.0,248.0,31,934,127,healthy
460,494.0,702.64,737.0,1024.0,343.0,124.0,165.456,161.0,311.0,33.0,38.0,37.8,38.0,47.0,27.0,23.0,19.536,19.0,28.0,11.0,14.0,10.744,10.0,20.0,3.0,1131.0,1248.824,1309.0,1827.0,380.0,31,934,390,healthy
461,1347.0,1311.136,1321.0,1541.0,1028.0,116.0,86.336,88.0,123.0,34.0,87.0,54.976,51.0,87.0,27.0,59.0,37.104,34.0,59.0,17.0,42.0,25.872,24.0,42.0,11.0,121.0,407.648,443.0,828.0,101.0,31,941,122,healthy
462,386.0,830.744,785.0,1655.0,347.0,36.0,128.728,89.0,574.0,13.0,20.0,34.112,32.0,68.0,19.0,14.0,20.296,14.0,47.0,7.0,12.0,13.792,12.0,34.0,1.0,682.0,929.128,682.0,2405.0,53.0,31,969,379,healthy
463,356.0,655.616,626.0,1655.0,278.0,76.0,117.4,79.0,272.0,18.0,22.0,32.688,33.0,65.0,20.0,13.0,19.088,14.0,44.0,11.0,9.0,12.312,7.0,33.0,3.0,1040.0,1019.248,1051.0,1916.0,47.0,31,969,382,healthy
464,500.0,646.0,648.0,1132.0,317.0,134.0,101.408,131.0,194.0,16.0,30.0,29.28,33.0,43.0,9.0,14.0,15.984,17.0,31.0,6.0,6.0,8.96,8.0,23.0,3.0,1471.0,1083.808,1318.0,1563.0,84.0,31,982,380,healthy
465,887.0,804.504,776.0,1251.0,329.0,174.0,143.56,148.0,370.0,3.0,48.0,38.648,36.0,61.0,26.0,17.0,17.0,17.0,26.0,11.0,8.0,8.424,8.0,17.0,3.0,1128.0,1312.512,1307.0,2344.0,773.0,32,347,236,healthy
466,1176.0,1043.272,1088.0,1449.0,644.0,193.0,177.584,172.0,301.0,87.0,33.0,33.448,35.0,42.0,21.0,17.0,16.416,16.0,27.0,11.0,8.0,7.776,7.0,16.0,3.0,973.0,1252.76,1230.0,2025.0,712.0,32,351,233,healthy
467,1556.0,1312.024,1312.0,1683.0,785.0,1686.0,926.688,1046.0,2012.0,2.0,29.0,46.816,36.0,100.0,27.0,8.0,17.48,14.0,48.0,2.0,0.0,6.504,5.0,23.0,0.0,2430.0,1948.872,1898.0,3736.0,277.0,32,364,251,healthy
468,1024.0,1042.472,1107.0,1738.0,496.0,184.0,159.6,157.0,341.0,33.0,21.0,22.856,23.0,29.0,17.0,11.0,10.4,11.0,19.0,2.0,4.0,5.184,4.0,15.0,0.0,1124.0,1443.048,1198.0,2608.0,264.0,32,469,245,healthy
469,1044.0,1078.04,1088.0,1253.0,834.0,40.0,45.384,39.0,124.0,5.0,33.0,26.096,27.0,35.0,16.0,16.0,13.856,14.0,21.0,6.0,12.0,10.136,11.0,18.0,2.0,72.0,682.752,576.0,1988.0,9.0,32,483,238,healthy
470,1236.0,1070.656,1062.0,1379.0,699.0,51.0,67.384,49.0,252.0,18.0,18.0,19.912,17.0,49.0,10.0,10.0,11.064,10.0,22.0,3.0,5.0,6.344,6.0,11.0,1.0,898.0,1053.752,978.0,2183.0,417.0,32,516,243,healthy
471,1084.0,1048.12,1049.0,1218.0,857.0,26.0,25.224,25.0,46.0,9.0,14.0,14.312,15.0,20.0,7.0,11.0,10.456,12.0,17.0,2.0,9.0,8.384,9.0,14.0,0.0,455.0,548.08,447.0,1609.0,160.0,32,519,228,healthy
472,688.0,637.752,679.0,834.0,426.0,27.0,85.56,62.0,264.0,6.0,17.0,23.552,21.0,46.0,15.0,13.0,13.736,14.0,20.0,6.0,10.0,8.776,9.0,19.0,1.0,746.0,1000.664,907.0,2161.0,163.0,32,546,240,healthy
473,641.0,623.968,661.0,768.0,339.0,137.0,99.856,108.0,167.0,25.0,29.0,25.016,26.0,33.0,19.0,13.0,12.792,13.0,18.0,8.0,5.0,6.584,6.0,14.0,3.0,1407.0,1210.456,1329.0,1655.0,343.0,32,559,243,healthy
474,690.0,845.208,852.0,1153.0,565.0,78.0,86.32,79.0,160.0,25.0,17.0,24.784,20.0,39.0,13.0,8.0,13.464,14.0,21.0,6.0,3.0,7.376,7.0,16.0,3.0,1277.0,1092.888,1190.0,1444.0,425.0,32,722,303,healthy
475,918.0,733.648,725.0,1014.0,473.0,35.0,93.016,93.0,194.0,28.0,22.0,27.976,28.0,43.0,17.0,17.0,16.04,16.0,24.0,9.0,13.0,9.44,9.0,18.0,4.0,493.0,1032.336,1083.0,1592.0,304.0,32,724,319,healthy
476,890.0,781.048,786.0,988.0,503.0,42.0,92.112,57.0,206.0,27.0,30.0,32.64,30.0,43.0,20.0,25.0,20.912,20.0,33.0,14.0,21.0,14.008,13.0,30.0,7.0,490.0,848.688,692.0,1558.0,222.0,32,728,310,healthy
